System,Drug,Class,Indication,Pediatric_Dose,Max_Dose,Dosage_Form,Route,Frequency,Contraindications,Major_Side_Effects,Special_Notes
Cardiovascular,Warfarin,Anticoagulant,Thrombosis,0.2 mg/kg/day,10 mg/day,Tab,PO,Once daily,Active bleeding,Bleeding,Monitor INR
Cardiovascular,Adenosine,Antiarrhythmic,SVT,0.1 mg/kg IV rapid max 12 mg,12 mg,IV amp,IV,Single dose,2°/3° AV block,Flushing chest pain,Rapid IV push
Cardiovascular,Sotalol,Antiarrhythmic,SVT,2-8 mg/kg/day ÷ BID,320 mg/day,Tab,PO,BID,Prolonged QT,Torsades fatigue,Monitor ECG
Cardiovascular,Isosorbide dinitrate,Nitrate,CHF,0.5-1 mg/kg/day ÷ TID,20 mg/day,Tab,PO,TID,Severe anemia,Headache hypotension,Tolerance develops
Cardiovascular,Digoxin,Cardiac glycoside,CHF SVT,5-15 mcg/kg/day ÷ BID,1 mg/day,Elixir tab,PO/IV,Once or BID,AV block WPW,Bradycardia GI upset,Monitor levels narrow TI
Cardiovascular,Nitroprusside,Vasodilator,HTN crisis,0.5-8 mcg/kg/min IV,—,IV infusion,IV,Continuous,Cyanide toxicity,Cyanide poisoning,Monitor thiocyanate
Cardiovascular,Milrinone,PDE-3 inhibitor,CHF,0.5-0.75 mcg/kg/min,—,IV infusion,IV,Continuous,Severe renal failure,Arrhythmias,Monitor BP
Cardiovascular,Dobutamine,Inotrope,Low-output CHF,2-20 mcg/kg/min IV,—,IV infusion,IV,Continuous,Same as dopamine,Same as dopamine,ICU use
Cardiovascular,Dopamine,Inotrope,Shock,2-20 mcg/kg/min IV,—,IV infusion,IV,Continuous,Tachyarrhythmias,Tachycardia arrhythmia,ICU use
Cardiovascular,Hydralazine,Vasodilator,HTN CHF,0.75-1 mg/kg/day ÷ QID,7.5 mg/kg/day,Tab IV,PO/IV,QID,Coronary disease,Tachycardia lupus-like,Reflex tachycardia
Cardiovascular,Atenolol,β-blocker,HTN,0.5-1 mg/kg/day,2 mg/kg/day,Tab,PO,Once daily,Heart block,Fatigue bradycardia,Monitor HR
Cardiovascular,Propranolol,β-blocker,HTN arrhythmias migraine,0.5-1 mg/kg/day ÷ BID,4 mg/kg/day,Tab liquid IV,PO/IV,BID,Asthma bradycardia,Fatigue hypoglycemia,Avoid in asthma
Cardiovascular,Amlodipine,CCB,HTN,0.1 mg/kg/day,10 mg/day,Tab,PO,Once daily,Severe AS,Edema flushing,Long half-life
Cardiovascular,Losartan,ARB,HTN,0.7 mg/kg/day,50 mg/day,Tab,PO,Once daily,Pregnancy,Hyperkalemia AKI,Monitor renal fxn
Cardiovascular,Lisinopril,ACE inhibitor,CHF HTN,0.07 mg/kg/day,40 mg/day,Tab,PO,Once daily,Pregnancy hyper-K,Dry cough AKI,Once-daily dosing
Cardiovascular,Enalapril,ACE inhibitor,CHF HTN,0.1 mg/kg/day ÷ BID,40 mg/day,Tab oral soln,PO,BID,Pregnancy hyper-K,Dry cough AKI,Titrate slowly
Cardiovascular,Spironolactone,K-sparing diuretic,CHF HTN,1-3 mg/kg/day ÷ BID,100 mg/day,Tab oral susp,PO,BID,Hyperkalemia,Gynecomastia GI upset,Monitor K+
Cardiovascular,Furosemide,Loop diuretic,CHF HTN,1-2 mg/kg/dose q6-12 h,6 mg/kg/day,Tab liquid IV,PO/IV,q6-12 h,Anuria dehydration,Hypokalemia ototoxicity,Monitor electrolytes
Cardiovascular,Heparin,Anticoagulant,Thrombosis,Loading 75 U/kg then 28 U/kg/h,—,IV infusion,IV,Continuous,Active bleeding,HIT bleeding,Monitor aPTT
Cardiovascular,Aspirin,Antiplatelet,Kawasaki stroke,3-5 mg/kg/day,100 mg/day,Tab chew,PO,Once daily,Viral illness (Reye),GI bleed,Monitor salicylate
Dermatology,Terbinafine 1%,Antifungal,Tinea,BID x1-2 wk,—,Cream gel,Topical,BID,None,Irritation,Short course
Dermatology,Triamcinolone 0.1%,Mid-potency TCS,Psoriasis,BID,—,Cream oint,Topical,BID,Same as above,Same as above,Avoid face
Dermatology,Betamethasone 0.05%,High-potency TCS,Lichen planus,QD-BID,—,Cream oint,Topical,QD-BID,Same as above,Same as above,2-week limit
Dermatology,Tacrolimus 0.03%,Calcineurin inhibitor,Atopic dermatitis,BID,—,Ointment,Topical,BID,Infection,Burning,Safe for face
Dermatology,Pimecrolimus 1%,Calcineurin inhibitor,Atopic dermatitis,BID,—,Cream,Topical,BID,Same as above,Same as above,Same as above
Dermatology,Permethrin 5%,Scabicide,Scabies,Apply neck-down x8-14 h,—,Cream,Topical,Once,Neonates <2 mo,Pruritus,Repeat at 1 wk
Dermatology,Ivermectin,Antiparasitic,Scabies,200 mcg/kg PO x1-2,12 mg,Tab,PO,Single,<15 kg,GI upset,Not 1st-line
Dermatology,Benzyl benzoate 25%,Scabicide,Scabies,Apply x24 h,—,Lotion,Topical,Once,Neonates,Irritation,Wash off
Dermatology,Lindane 1%,Scabicide,Scabies,Apply x8-12 h,—,Lotion,Topical,Once,Seizure history,Neurotoxicity,Reserved
Dermatology,Malathion 0.5%,Pediculicide,Head lice,Apply x8-12 h,—,Lotion,Topical,Once,Infants,Irritation,Comb nits
Dermatology,Permethrin 1%,Pediculicide,Head lice,Apply x10 min,—,Lotion,Topical,Once,<2 mo,Irritation,Repeat at 9 days
Dermatology,Ketoconazole 2%,Antifungal,Tinea,BID x2-4 wk,—,Cream shampoo,Topical,BID,Hepatic disease,Irritation,Monitor LFTs
Dermatology,Clotrimazole 1%,Antifungal,Tinea,BID x2-4 wk,—,Cream solution,Topical,BID,None,Irritation,OTC
Dermatology,Miconazole 2%,Antifungal,Tinea,BID x2-4 wk,—,Cream powder,Topical,BID,None,Irritation,OTC
Dermatology,Hydrocortisone 1%,Topical corticosteroid,Eczema,BID-TID,—,Cream oint,Topical,BID-TID,Infection,Skin atrophy,Face ≤7 days
Dermatology,Griseofulvin,Systemic antifungal,Tinea capitis,20-25 mg/kg/day,1 g/day,Tab liquid,PO,Once daily,Hepatic failure,Hepatitis,Monitor LFTs
Dermatology,Acyclovir 5%,Antiviral,HSV,5x/day x5 days,—,Cream oint,Topical,5x/day,None,Irritation,Combine PO
Dermatology,Penciclovir 1%,Antiviral,HSV,q2h x4 days,—,Cream,Topical,q2h,None,Irritation,Limited data
Dermatology,Benzoyl peroxide 2.5-10%,Antiacne,Acne,QD-BID,—,Gel wash,Topical,QD-BID,None,Irritation,Start low
Dermatology,Salicylic acid 2-40%,Keratolytic,Warts,Once daily,—,Gel plaster,Topical,Once daily,Diabetes,Irritation,Avoid face
Endocrine,Insulin lispro,Rapid-acting insulin,DM1 DM2,0.5-1 U/kg/day,—,Injection,SQ,TID-QID,Hypoglycemia,Hypoglycemia,Carb counting
Endocrine,Insulin glargine,Long-acting insulin,DM1 DM2,0.5-1 U/kg/day,—,Injection,SQ,Once daily,Hypoglycemia,Hypoglycemia,Monitor glucose
Endocrine,Teriparatide,PTH analog,Osteoporosis,20 mcg/day,—,Injection,SQ,Once daily,Paget disease,Hypercalcemia,SQ injection
Endocrine,Calcitriol,Active vitamin D,Hypoparathyroidism,0.25-2 mcg/day,2 mcg/day,Cap liquid,PO,Once daily,Hypercalcemia,Hypercalcemia,Monitor Ca²⁺
Endocrine,Bromocriptine,Dopamine agonist,Prolactinoma,1.25 mg BID,15 mg/day,Tab,PO,BID,Same as cabergoline,Same as above,Same as above
Endocrine,Cabergoline,Dopamine agonist,Prolactinoma,0.25 mg BID,1 mg/day,Tab,PO,BID,Cardiac valvulopathy,Nausea,Monitor ECHO
Endocrine,Lanreotide,Somatostatin analog,Acromegaly,60-120 mg q4wk,—,Depot,IM,q4wk,Same as octreotide,Same as above,Depot injection
Endocrine,Octreotide,Somatostatin analog,Hyperinsulinism,1-10 mcg/kg/day ÷ TID,1500 mcg/day,Amp,SQ/IV,TID,Gallstones,GI upset,Monitor glucose
Endocrine,Growth hormone,GH,GH deficiency,0.025-0.04 mg/kg/day,0.06 mg/kg/day,Injection,SQ,Once daily,Active malignancy,Edema,Monitor IGF-1
Endocrine,Vasopressin,ADH,DI shock,0.01 U/kg/h,—,IV infusion,IV,Continuous,Vascular disease,Hyponatremia,ICU use
Endocrine,Desmopressin,ADH analog,DI,0.1 mg BID,0.8 mg/day,Tab nasal spray,PO/IV/SQ,BID,Hyponatremia,Water intoxication,Monitor Na+
Endocrine,Fludrocortisone,Mineralocorticoid,CAH,0.05-0.2 mg/day,0.4 mg/day,Tab,PO,Once daily,Cardiac failure,Hypertension,Monitor K+
Endocrine,Prednisolone,Corticosteroid,Adrenal insufficiency,0.5-2 mg/kg/day,80 mg/day,Tab liquid,PO,Once daily,Same as hydrocortisone,Same as above,Taper slowly
Endocrine,Hydrocortisone,Corticosteroid,Adrenal insufficiency,8-10 mg/m²/day ÷ TID,80 mg/day,Tab IV,PO/IV,TID,Systemic fungal infections,Growth suppression,Stress dosing
Endocrine,Propylthiouracil,Antithyroid,Hyperthyroidism,5-7 mg/kg/day ÷ TID,300 mg/day,Tab,PO,TID,Hepatotoxicity,Hepatitis,Monitor LFTs
Endocrine,Methimazole,Antithyroid,Hyperthyroidism,0.5-1 mg/kg/day ÷ TID,40 mg/day,Tab,PO,TID,Agranulocytosis,Rash agranulocytosis,Monitor CBC
